Example program for rho-mu library.
Copyright (C) 2017-2022 Vincent A. Cicirello
This program comes with ABSOLUTELY NO WARRANTY.  This is free
software, and you are welcome to redistribute it under certain
conditions.  See the GNU General Public License for more
details: https://www.gnu.org/licenses/gpl-3.0.html

 Bound	       TLR	        RI	         t	       dof
     1	 0.0067188	 0.0118750	   -4.8022	       194
     2	 0.0087500	 0.0120313	   -2.6462	       197
     3	 0.0262500	 0.0123438	   12.4798	       197
     4	 0.0079688	 0.0115625	   -3.4410	       194
     5	 0.0264063	 0.0117188	   14.7624	       197
     6	 0.0264063	 0.0115625	   14.8292	       197
     7	 0.0275000	 0.0110938	   16.7658	       197
     8	 0.0084375	 0.0123438	   -3.8646	       190
     9	 0.0259375	 0.0117188	   14.1079	       196
    10	 0.0259375	 0.0117188	   14.1079	       196
    11	 0.0259375	 0.0118750	   14.0401	       195
    12	 0.0260938	 0.0115625	   14.3901	       197
    13	 0.0264063	 0.0114063	   14.8994	       197
    14	 0.0270313	 0.0114063	   15.8474	       198
    15	 0.0256250	 0.0126563	   12.9880	       194
    16	 0.0076563	 0.0120313	   -4.2635	       192
    17	 0.0259375	 0.0114063	   14.2529	       197
    18	 0.0264063	 0.0110938	   14.7033	       197
    19	 0.0253125	 0.0120313	   13.1650	       194
    20	 0.0260938	 0.0114063	   14.4628	       197
    21	 0.0257813	 0.0118750	   13.8315	       195
    22	 0.0257813	 0.0115625	   13.9729	       196
    23	 0.0256250	 0.0118750	   13.6279	       195
    24	 0.0259375	 0.0115625	   14.1789	       196
    25	 0.0256250	 0.0118750	   13.6279	       195
    26	 0.0254688	 0.0118750	   13.4292	       195
    27	 0.0260938	 0.0114063	   14.4628	       197
    28	 0.0257813	 0.0115625	   13.9729	       196
    29	 0.0254688	 0.0120313	   13.3604	       194
    30	 0.0259375	 0.0114063	   14.2529	       197
    31	 0.0257813	 0.0117188	   13.9007	       196
    32	 0.0078125	 0.0117188	   -3.7607	       194
    33	 0.0254688	 0.0117188	   13.5010	       195
    34	 0.0256250	 0.0114063	   13.8481	       196
    35	 0.0250000	 0.0118750	   12.8598	       194
    36	 0.0253125	 0.0118750	   13.2351	       194
    37	 0.0254688	 0.0117188	   13.5010	       195
    38	 0.0254688	 0.0117188	   13.5010	       195
    39	 0.0257813	 0.0114063	   14.0480	       196
    40	 0.0257813	 0.0115625	   13.9729	       196
    41	 0.0259375	 0.0118750	   13.1067	       194
    42	 0.0257813	 0.0114063	   14.0480	       196
    43	 0.0256250	 0.0117188	   13.6984	       195
    44	 0.0256250	 0.0115625	   13.7719	       196
    45	 0.0254688	 0.0117188	   13.5010	       195
    46	 0.0256250	 0.0114063	   13.8481	       196
    47	 0.0253125	 0.0117188	   13.3081	       195
    48	 0.0254688	 0.0118750	   13.4292	       195
    49	 0.0256250	 0.0115625	   13.7719	       196
    50	 0.0254688	 0.0117188	   13.5010	       195
    51	 0.0256250	 0.0115625	   13.7719	       196
    52	 0.0254688	 0.0117188	   13.5010	       195
    53	 0.0256250	 0.0117188	   13.6984	       195
    54	 0.0257813	 0.0114063	   14.0480	       196
    55	 0.0254688	 0.0117188	   13.5010	       195
    56	 0.0257813	 0.0114063	   14.0480	       196
    57	 0.0253125	 0.0118750	   13.2351	       194
    58	 0.0253125	 0.0118750	   13.2351	       194
    59	 0.0253125	 0.0118750	   13.2351	       194
    60	 0.0256250	 0.0115625	   13.7719	       196
    61	 0.0257813	 0.0115625	   13.9729	       196
    62	 0.0251563	 0.0118750	   13.0454	       194
    63	 0.0254688	 0.0117188	   13.5010	       195
    64	 0.0076563	 0.0120313	   -4.2635	       192
