Example program for rho-mu library.
Copyright (C) 2017-2022 Vincent A. Cicirello
This program comes with ABSOLUTELY NO WARRANTY.  This is free
software, and you are welcome to redistribute it under certain
conditions.  See the GNU General Public License for more
details: https://www.gnu.org/licenses/gpl-3.0.html

 Bound	       TLR	    BIASED	         t	       dof
     1	 0.0326563	 0.0006250	   41.6097	       135
     2	 0.0026563	 0.0026563	    0.0000	       196
     3	 0.1295313	 0.0026563	   57.9016	       158
     4	 0.0393750	 0.0009375	   44.2478	       141
     5	 0.1312500	 0.0006250	  125.6286	       117
     6	 0.1303125	 0.0009375	  137.1560	       134
     7	 0.1293750	 0.0012500	  150.1666	       158
     8	 0.0392188	 0.0007813	   44.8830	       135
     9	 0.1276563	 0.0010938	  150.6495	       152
    10	 0.1281250	 0.0010938	  170.4984	       168
    11	 0.1287500	 0.0006250	  148.7622	       127
    12	 0.1275000	 0.0010938	  180.2165	       176
    13	 0.1276563	 0.0009375	  181.5745	       167
    14	 0.1275000	 0.0010938	  180.2165	       176
    15	 0.1276563	 0.0009375	  181.5745	       167
    16	 0.0390625	 0.0007813	   44.6931	       135
    17	 0.1259375	 0.0007813	  247.2534	       196
    18	 0.1256250	 0.0010938	  225.6537	       197
    19	 0.1257813	 0.0009375	  246.6361	       196
    20	 0.1259375	 0.0007813	  247.2534	       196
    21	 0.1260938	 0.0007813	  237.8060	       193
    22	 0.1259375	 0.0007813	  247.2534	       196
    23	 0.1254688	 0.0009375	  223.8484	       195
    24	 0.1254688	 0.0010938	  234.3676	       194
    25	 0.1257813	 0.0007813	  234.7246	       192
    26	 0.1259375	 0.0009375	  237.0026	       198
    27	 0.1251563	 0.0014063	  235.6795	       162
    28	 0.1262500	 0.0004688	  249.9357	       166
    29	 0.1253125	 0.0014063	  226.3615	       176
    30	 0.1262500	 0.0007813	  229.5943	       189
    31	 0.1257813	 0.0003125	  195.4542	       124
    32	 0.0395313	 0.0004688	   47.1606	       121
    33	 0.1239063	 0.0012500	  209.7244	       197
    34	 0.1240625	 0.0010938	  224.6488	       196
    35	 0.1237500	 0.0010938	  209.7244	       197
    36	 0.1239063	 0.0015625	  186.1814	       197
    37	 0.1250000	 0.0000000	  Infinity	         0
    38	 0.1237500	 0.0012500	  203.3198	       198
    39	 0.1242188	 0.0010938	  215.3139	       197
    40	 0.1239063	 0.0012500	  209.7244	       197
    41	 0.1237500	 0.0014063	  197.5669	       197
    42	 0.1248438	 0.0000000	  799.0000	        99
    43	 0.1239063	 0.0009375	  224.6488	       196
    44	 0.1239063	 0.0010938	  216.7378	       197
    45	 0.1248438	 0.0003125	  461.7054	       178
    46	 0.1237500	 0.0010938	  209.7244	       197
    47	 0.1250000	 0.0000000	  Infinity	         0
    48	 0.1242188	 0.0007813	  255.0251	       198
    49	 0.1231250	 0.0020313	  164.8902	       197
    50	 0.1242188	 0.0006250	  268.5329	       195
    51	 0.1231250	 0.0018750	  168.0089	       198
    52	 0.1250000	 0.0000000	  562.8499	        99
    53	 0.1237500	 0.0012500	  190.7724	       195
    54	 0.1250000	 0.0001563	  799.0000	        99
    55	 0.1250000	 0.0001563	  799.0000	        99
    56	 0.1239063	 0.0009375	  224.6488	       196
    57	 0.1237500	 0.0014063	  197.5669	       197
    58	 0.1250000	 0.0000000	  Infinity	         0
    59	 0.1248438	 0.0003125	  461.7054	       178
    60	 0.1250000	 0.0001563	  799.0000	        99
    61	 0.1250000	 0.0001563	  799.0000	        99
    62	 0.1243750	 0.0007813	  268.5329	       195
    63	 0.1239063	 0.0009375	  224.6488	       196
    64	 0.0387500	 0.0012500	   42.0042	       152
    65	 0.1223438	 0.0007813	  178.2487	       158
    66	 0.1218750	 0.0010938	  162.1098	       168
    67	 0.1223438	 0.0006250	  182.9460	       149
    68	 0.1225000	 0.0003125	  186.5304	       123
    69	 0.1221875	 0.0009375	  163.1381	       158
    70	 0.1225000	 0.0007813	  181.7351	       161
    71	 0.1221875	 0.0009375	  170.9481	       165
    72	 0.1217188	 0.0014063	  153.9068	       177
    73	 0.1220313	 0.0009375	  168.1511	       162
    74	 0.1223438	 0.0009375	  173.9623	       167
    75	 0.1218750	 0.0014063	  155.9747	       179
    76	 0.1223438	 0.0007813	  178.2487	       158
    77	 0.1221875	 0.0007813	  175.0290	       156
    78	 0.1225000	 0.0006250	  186.6983	       151
    79	 0.1221875	 0.0010938	  167.1997	       172
    80	 0.1223438	 0.0009375	  173.9623	       167
    81	 0.1218750	 0.0009375	  165.5503	       161
    82	 0.1223438	 0.0007813	  178.2487	       158
    83	 0.1228125	 0.0004688	  201.4924	       144
    84	 0.1223438	 0.0009375	  173.9623	       167
    85	 0.1217188	 0.0012500	  156.7542	       172
    86	 0.1235938	 0.0007813	  136.2631	       131
    87	 0.1237500	 0.0007813	  134.0761	       130
    88	 0.1223438	 0.0009375	  146.7598	       146
    89	 0.1221875	 0.0010938	  159.8531	       165
    90	 0.1221875	 0.0009375	  163.1381	       158
    91	 0.1226563	 0.0006250	  190.7855	       153
    92	 0.1226563	 0.0006250	  190.7855	       153
    93	 0.1225000	 0.0007813	  181.7351	       161
    94	 0.1221875	 0.0010938	  167.1997	       172
    95	 0.1218750	 0.0010938	  155.3551	       162
    96	 0.1220313	 0.0009375	  168.1511	       162
    97	 0.1225000	 0.0007813	  181.7351	       161
    98	 0.1228125	 0.0003125	  208.4825	       130
    99	 0.1220313	 0.0010938	  164.5646	       170
   100	 0.1221875	 0.0010938	  167.1997	       172
   101	 0.1218750	 0.0012500	  158.9273	       174
   102	 0.1221875	 0.0010938	  167.1997	       172
   103	 0.1221875	 0.0009375	  170.9481	       165
   104	 0.1226563	 0.0006250	  171.2539	       142
   105	 0.1221875	 0.0009375	  170.9481	       165
   106	 0.1223438	 0.0007813	  178.2487	       158
   107	 0.1225000	 0.0006250	  186.6983	       151
   108	 0.1218750	 0.0012500	  158.9273	       174
   109	 0.1225000	 0.0009375	  177.2181	       169
   110	 0.1220313	 0.0009375	  168.1511	       162
   111	 0.1225000	 0.0004688	  192.1807	       139
   112	 0.1221875	 0.0010938	  167.1997	       172
   113	 0.1220313	 0.0010938	  164.5646	       170
   114	 0.1220313	 0.0010938	  164.5646	       170
   115	 0.1226563	 0.0006250	  190.7855	       153
   116	 0.1223438	 0.0009375	  173.9623	       167
   117	 0.1220313	 0.0012500	  161.2525	       176
   118	 0.1221875	 0.0009375	  170.9481	       165
   119	 0.1223438	 0.0009375	  173.9623	       167
   120	 0.1221875	 0.0009375	  170.9481	       165
   121	 0.1218750	 0.0012500	  158.9273	       174
   122	 0.1218750	 0.0010938	  162.1098	       168
   123	 0.1221875	 0.0010938	  167.1997	       172
   124	 0.1221875	 0.0010938	  167.1997	       172
   125	 0.1218750	 0.0012500	  158.9273	       174
   126	 0.1223438	 0.0006250	  182.9460	       149
   127	 0.1225000	 0.0007813	  181.7351	       161
   128	 0.0389063	 0.0010938	   42.9020	       147
   129	 0.1206250	 0.0009375	  150.0502	       150
   130	 0.1207813	 0.0010938	  148.8436	       157
   131	 0.1204688	 0.0012500	  143.5989	       161
   132	 0.1210938	 0.0007813	  158.0427	       146
   133	 0.1212500	 0.0007813	  153.4578	       143
   134	 0.1207813	 0.0010938	  148.8436	       157
   135	 0.1201563	 0.0015625	  136.9916	       169
   136	 0.1203125	 0.0015625	  138.0609	       170
   137	 0.1206250	 0.0012500	  144.9061	       162
   138	 0.1210938	 0.0009375	  154.9309	       153
   139	 0.1212500	 0.0003125	  171.3495	       120
   140	 0.1201563	 0.0017188	  135.0668	       173
   141	 0.1206250	 0.0012500	  144.9061	       162
   142	 0.1226563	 0.0003125	  156.7267	       115
   143	 0.1218750	 0.0009375	  165.5503	       161
   144	 0.1204688	 0.0015625	  139.1970	       171
   145	 0.1206250	 0.0010938	  147.3898	       156
   146	 0.1214063	 0.0009375	  158.7554	       156
   147	 0.1214063	 0.0012500	  125.6703	       145
   148	 0.1214063	 0.0009375	  152.3642	       151
   149	 0.1206250	 0.0012500	  144.9061	       162
   150	 0.1217188	 0.0014063	  153.9068	       177
   151	 0.1218750	 0.0007813	  139.0582	       134
   152	 0.1214063	 0.0007813	  155.3126	       144
   153	 0.1212500	 0.0006250	  163.4690	       138
   154	 0.1214063	 0.0004688	  169.5955	       130
   155	 0.1204688	 0.0015625	  139.1970	       171
   156	 0.1210938	 0.0004688	  165.0463	       129
   157	 0.1212500	 0.0006250	  163.4690	       138
   158	 0.1210938	 0.0004688	  165.0463	       129
   159	 0.1214063	 0.0004688	  169.5955	       130
   160	 0.1212500	 0.0004688	  167.2407	       129
   161	 0.1206250	 0.0012500	  144.9061	       162
   162	 0.1218750	 0.0001563	  188.0435	       111
   163	 0.1201563	 0.0014063	  134.5628	       160
   164	 0.1210938	 0.0009375	  154.9309	       153
   165	 0.1215625	 0.0003125	  176.5775	       121
   166	 0.1201563	 0.0014063	  139.0375	       165
   167	 0.1198438	 0.0020313	  129.7734	       179
   168	 0.1214063	 0.0004688	  169.5955	       130
   169	 0.1212500	 0.0006250	  163.4690	       138
   170	 0.1206250	 0.0012500	  144.9061	       162
   171	 0.1217188	 0.0003125	  170.5425	       119
   172	 0.1203125	 0.0015625	  138.0609	       170
   173	 0.1207813	 0.0010938	  148.8436	       157
   174	 0.1217188	 0.0003125	  179.5009	       122
   175	 0.1210938	 0.0007813	  158.0427	       146
   176	 0.1206250	 0.0012500	  144.9061	       162
   177	 0.1215625	 0.0003125	  176.5775	       121
   178	 0.1193750	 0.0023438	  124.5715	       182
   179	 0.1206250	 0.0012500	  144.9061	       162
   180	 0.1203125	 0.0015625	  138.0609	       170
   181	 0.1214063	 0.0003125	  173.8670	       120
   182	 0.1215625	 0.0003125	  176.5775	       121
   183	 0.1212500	 0.0006250	  163.4690	       138
   184	 0.1212500	 0.0004688	  167.2407	       129
   185	 0.1209375	 0.0007813	  156.2172	       145
   186	 0.1209375	 0.0009375	  153.1982	       152
   187	 0.1210938	 0.0007813	  158.0427	       146
   188	 0.1214063	 0.0006250	  165.6813	       140
   189	 0.1217188	 0.0001563	  184.6238	       110
   190	 0.1207813	 0.0010938	  148.8436	       157
